epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,551.73,0.64523,3.59319,0.27062,0.75938,1.04163,0.85044,0.88698,0.92432,0.82694,0.85044,0.88698,0.92042,0.49493,0.53569,2.40527,0.05006,0.60812,0.97465,0.00123791,0.00123791,0.00123791
28,573.376,0.69185,3.8208,0.27923,0.81932,1.05373,0.73218,0.91265,0.89223,0.77264,0.74438,0.85289,0.85111,0.3817,0.55101,2.79328,0.07798,0.65095,0.98203,0.00122141,0.00122141,0.00122141
29,592.376,0.69525,3.88842,0.26037,0.7693,1.07233,0.77766,0.76231,0.79323,0.69609,0.77766,0.76231,0.74137,0.37597,0.5455,2.76543,0.03902,0.95423,0.96798,0.00120491,0.00120491,0.00120491
30,615.935,0.67861,4.03051,0.26273,0.76887,1.04784,0.6603,0.77149,0.88471,0.78277,0.70031,0.68182,0.70288,0.37077,0.55093,3.18904,0.05555,1.46266,0.98068,0.0011884,0.0011884,0.0011884
31,632.497,0.65136,3.7199,0.26343,0.76617,1.04232,0.74978,0.81087,0.83078,0.74853,0.74978,0.81087,0.76687,0.46111,0.50344,2.51508,0.04715,0.84917,0.94598,0.0011719,0.0011719,0.0011719
32,652.624,0.65419,3.54896,0.23929,0.7402,1.04738,0.80642,0.86855,0.88772,0.78384,0.80642,0.86855,0.85771,0.5111,0.52061,2.38853,0.05836,0.70547,0.9649,0.0011554,0.0011554,0.0011554
33,671.685,0.64098,3.7636,0.25636,0.70823,1.03544,0.72053,0.90562,0.89661,0.79575,0.71371,0.89126,0.8796,0.50111,0.52499,2.41064,0.02565,0.71025,0.96701,0.00113889,0.00113889,0.00113889
34,691.644,0.63079,3.47412,0.25475,0.69149,1.02163,0.83833,0.8707,0.89663,0.80252,0.83833,0.8707,0.85811,0.53079,0.50276,2.32078,0.05325,0.61908,0.94013,0.00112239,0.00112239,0.00112239
35,711.894,0.65838,3.59078,0.24229,0.71898,1.01949,0.76915,0.82753,0.90834,0.82472,0.77123,0.80058,0.82669,0.55499,0.49849,2.37682,0.1365,0.78551,0.94168,0.00110589,0.00110589,0.00110589
36,732.76,0.65228,3.53901,0.23683,0.78446,1.03052,0.67138,0.90572,0.90573,0.82143,0.67138,0.90572,0.90573,0.41752,0.49321,2.72073,0.02647,0.8074,0.95049,0.00108938,0.00108938,0.00108938
